Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] Qwen3.5-Plus/A/水调歌头  107.75s 0err 10820tok
  [29/144] Qwen3.5-Plus/A/南浦  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [30/144] Qwen3.5-Plus/A/东风第一枝  137.54s 0err 11680tok
  [31/144] Qwen3.5-Plus/A/玉漏迟  140.93s 0err 12286tok
  [32/144] Qwen3.5-Plus/A/天香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [33/144] Qwen3.5-Plus/A/凤凰台上忆吹箫  150.03s 0err 12949tok
  [34/144] Qwen3.5-Plus/A/绮罗香  268.42s 0err 19586tok
  [35/144] Qwen3.5-Plus/A/莺啼序  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [36/144] Qwen3.5-Plus/A/扬州慢  369.29s 0err 21295tok
  [37/144] Qwen3.5-Plus/A/暗香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [38/144] Qwen3.5-Plus/A/多丽  229.68s 0err 18413tok
  [39/144] Qwen3.5-Plus/A/霜叶飞  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [40/144] Qwen3.5-Plus/A/法曲献仙音  199.59s 0err 16469tok
  [41/144] Qwen3.5-Plus/A/扫地游  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [42/144] Qwen3.5-Plus/A/解语花  164.33s 0err 12839tok
  [43/144] Qwen3.5-Plus/A/玲珑四犯  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [44/144] Qwen3.5-Plus/A/绛都春  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [45/144] Qwen3.5-Plus/A/琵琶仙  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [46/144] Qwen3.5-Plus/A/选冠子  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [47/144] Qwen3.5-Plus/A/庆春宫  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [48/144] Qwen3.5-Plus/A/石州慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [49/144] Qwen3.5-Plus/A/意难忘  322.19s 0err 7764tok
  [50/144] Qwen3.5-Plus/A/倦寻芳  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [51/144] Qwen3.5-Plus/A/甘露滴乔松  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [52/144] Qwen3.5-Plus/A/穆护砂  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [53/144] Qwen3.5-Plus/A/索酒  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [54/144] Qwen3.5-Plus/A/绕池游慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [55/144] Qwen3.5-Plus/A/胜州令  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [56/144] Qwen3.5-Plus/A/花发状元红慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [57/144] Qwen3.5-Plus/A/落梅  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [58/144] Qwen3.5-Plus/A/行香子慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [59/144] Qwen3.5-Plus/A/远朝归  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [60/144] Qwen3.5-Plus/A/逍遥乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [61/144] Qwen3.5-Plus/A/金浮图  301.65s 0err 21440tok
  [62/144] Qwen3.5-Plus/A/飞龙宴  160.91s 0err 10867tok
  [63/144] Qwen3.5-Plus/A/雪夜渔舟  234.72s 0err 17302tok
  [64/144] Qwen3.5-Plus/A/长寿仙  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [65/144] Qwen3.5-Plus/A/个侬  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [66/144] Qwen3.5-Plus/A/三台（大曲）  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [67/144] Qwen3.5-Plus/A/六花飞  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [68/144] Qwen3.5-Plus/A/内家娇  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [69/144] Qwen3.5-Plus/A/四槛花  253.5s 0err 17413tok
  [70/144] Qwen3.5-Plus/A/如鱼水  266.53s 0err 14917tok
  [71/144] Qwen3.5-Plus/A/大椿  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [72/144] Qwen3.5-Plus/A/小圣乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [73/144] Qwen3.5-Plus/A/恋芳春慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [74/144] Qwen3.5-Plus/A/征部乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [75/144] Qwen3.5-Plus/A/惜寒梅  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [76/144] Qwen3.5-Plus/A/无闷  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [77/144] Qwen3.5-Plus/A/早梅芳慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [78/144] Qwen3.5-Plus/A/春雪间早梅  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [79/144] Qwen3.5-Plus/A/望明河  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [80/144] Qwen3.5-Plus/A/望南云慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [81/144] Qwen3.5-Plus/A/期夜月  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [82/144] Qwen3.5-Plus/A/清风满桂楼  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [83/144] Qwen3.5-Plus/A/杏花天慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [84/144] Qwen3.5-Plus/A/梦扬州  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [85/144] Qwen3.5-Plus/A/玉连环  ERROR: OpenAI-compatible request failed: HTTP 400 Bad Request for https://dashscope.ali
  [86/144] Qwen3.5-Plus/A/澡兰香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [87/144] Qwen3.5-Plus/A/玉梅香慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [88/144] Qwen3.5-Plus/A/玉抱肚  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [89/144] Qwen3.5-Plus/A/瑞云浓慢  703.62s 0err 42858tok
  [90/144] Qwen3.5-Plus/A/真珠髻  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [91/144] Qwen3.5-Plus/A/红芍药  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [92/144] Qwen3.5-Plus/A/翠羽吟  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [93/144] Qwen3.5-Plus/A/菩萨蛮慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [94/144] Qwen3.5-Plus/A/舜韶新  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [95/144] Qwen3.5-Plus/A/蜀溪春  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [96/144] Qwen3.5-Plus/A/西吴曲  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [97/144] Qwen3.5-Plus/A/雪明鳷鹊夜  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [98/144] Qwen3.5-Plus/A/赏松菊  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [99/144] Qwen3.5-Plus/A/阳台路  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [100/144] Qwen3.5-Plus/A/忆江南  37.05s 0err 5388tok
  [101/144] Qwen3.5-Plus/A/采明珠  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [102/144] Qwen3.5-Plus/A/蝶恋花  101.32s 0err 9041tok
  [103/144] Qwen3.5-Plus/A/渔家傲  121.41s 0err 10822tok
  [104/144] Qwen3.5-Plus/A/踏莎行  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [105/144] Qwen3.5-Plus/A/洞仙歌  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [106/144] Qwen3.5-Plus/A/荷华媚  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [107/144] Qwen3.5-Plus/A/甘露歌  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [108/144] Qwen3.5-Plus/A/韵令  85.64s 0err 7976tok
  [109/144] Qwen3.5-Plus/A/浣溪沙  48.24s 0err 6066tok
  [110/144] Qwen3.5-Plus/A/浪淘沙  98.22s 0err 10773tok
  [111/144] Qwen3.5-Plus/A/隔帘听  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [112/144] Qwen3.5-Plus/A/钿带长中调  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [113/144] Qwen3.5-Plus/A/生查子  76.72s 0err 6553tok
  [114/144] Qwen3.5-Plus/A/破字令  104.29s 0err 9219tok
  [115/144] Qwen3.5-Plus/A/菩萨蛮  168.19s 0err 11580tok
  [116/144] Qwen3.5-Plus/A/鹧鸪天  189.61s 0err 12836tok
  [117/144] Qwen3.5-Plus/A/竹香子  182.01s 0err 13569tok
  [118/144] Qwen3.5-Plus/A/荔子丹  157.84s 0err 12285tok
  [119/144] Qwen3.5-Plus/A/醉高歌  105.57s 0err 9183tok
  [120/144] Qwen3.5-Plus/A/七律仄起首句入韵  76.59s 0err 7471tok
  [121/144] Qwen3.5-Plus/A/五律仄起  69.01s 0err 7138tok
  [122/144] Qwen3.5-Plus/A/七律平起首句入韵  108.11s 0err 9492tok
  [123/144] Qwen3.5-Plus/A/七绝平起首句入韵  53.69s 0err 6176tok
  [124/144] Qwen3.5-Plus/A/七绝平起  32.88s 0err 4961tok
  [125/144] Qwen3.5-Plus/A/七绝仄起首句入韵  128.54s 0err 10902tok
  [126/144] Qwen3.5-Plus/A/五绝仄起  25.01s 0err 4531tok
  [127/144] Qwen3.5-Plus/A/荷叶铺水面  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [128/144] Qwen3.5-Plus/A/五律平起  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [129/144] Qwen3.5-Plus/A/五律仄起首句入韵  55.33s 0err 6084tok
  [130/144] Qwen3.5-Plus/A/七律平起  61.3s 0err 6122tok
  [131/144] Qwen3.5-Plus/A/七绝仄起  76.22s 0err 7447tok
  [132/144] Qwen3.5-Plus/A/七律仄起  89.51s 0err 8357tok
  [133/144] Qwen3.5-Plus/A/五绝仄起首句入韵  38.17s 0err 5383tok
  [134/144] Qwen3.5-Plus/A/五绝平起首句入韵  31.94s 0err 5084tok
  [135/144] Qwen3.5-Plus/A/五绝平起  70.39s 0err 7379tok
  [136/144] Qwen3.5-Plus/A/五律平起首句入韵  49.77s 0err 5929tok
  [137/144] Qwen3.5-Plus/A/调笑令  109.73s 0err 11034tok
  [138/144] Qwen3.5-Plus/A/定风波  148.96s 0err 14192tok
  [139/144] Qwen3.5-Plus/A/西江月  109.68s 0err 8839tok
  [140/144] Qwen3.5-Plus/A/戚氏  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [141/144] Qwen3.5-Plus/A/减字木兰花  231.03s 0err 15006tok
  [142/144] Qwen3.5-Plus/A/六州歌头  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [143/144] Qwen3.5-Plus/A/皂罗特髻  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [144/144] Qwen3.5-Plus/A/翠楼吟  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  Qwen3.5-Plus/A: done (144 completed)

All done. Results in results/run_003/
