Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 4 per model, outdir: results/run_003

  [1/144] gpt-5.4/A/水调歌头  12.83s 0err 5551tok
  [70/144] gpt-5.4/A/六花飞  65.04s 0err 10414tok
  [71/144] gpt-5.4/A/大椿  38.93s 0err 6084tok
  [72/144] gpt-5.4/A/征部乐  26.99s 0err 5090tok
  [73/144] gpt-5.4/A/小圣乐  34.29s 0err 6073tok
  [74/144] gpt-5.4/A/恋芳春慢  33.63s 0err 5481tok
  [75/144] gpt-5.4/A/早梅芳慢  31.53s 0err 5540tok
  [76/144] gpt-5.4/A/惜寒梅  49.86s 0err 7277tok
  [77/144] gpt-5.4/A/春雪间早梅  29.32s 0err 4925tok
  [78/144] gpt-5.4/A/无闷  49.95s 0err 8648tok
  [79/144] gpt-5.4/A/望南云慢  23.51s 0err 4454tok
  [80/144] gpt-5.4/A/望明河  36.08s 0err 5963tok
  [81/144] gpt-5.4/A/期夜月  20.21s 0err 4526tok
  [82/144] gpt-5.4/A/梦扬州  29.84s 0err 5120tok
  [83/144] gpt-5.4/A/清风满桂楼  32.03s 0err 5451tok
  [84/144] gpt-5.4/A/澡兰香  20.39s 0err 4362tok
  [85/144] gpt-5.4/A/玉梅香慢  21.37s 0err 4398tok
  [86/144] gpt-5.4/A/杏花天慢  55.72s 0err 8094tok
  [87/144] gpt-5.4/A/玉抱肚  33.77s 0err 6068tok
  [88/144] gpt-5.4/A/玉连环  23.65s 0err 4462tok
  [89/144] gpt-5.4/A/真珠髻  28.8s 0err 5241tok
  [90/144] gpt-5.4/A/瑞云浓慢  33.62s 0err 5964tok
  [91/144] gpt-5.4/A/翠羽吟  39.88s 0err 6989tok
  [92/144] gpt-5.4/A/舜韶新  35.69s 0err 6392tok
  [93/144] gpt-5.4/A/红芍药  71.18s 0err 10812tok
  [94/144] gpt-5.4/A/西吴曲  23.01s 0err 5149tok
  [95/144] gpt-5.4/A/菩萨蛮慢  57.71s 0err 8369tok
  [96/144] gpt-5.4/A/蜀溪春  51.51s 0err 7814tok
  [97/144] gpt-5.4/A/阳台路  21.38s 0err 4439tok
  [98/144] gpt-5.4/A/赏松菊  28.06s 0err 5180tok
  [99/144] gpt-5.4/A/采明珠  31.62s 0err 5321tok
  [100/144] gpt-5.4/A/蝶恋花  10.9s 0err 3590tok
  [101/144] gpt-5.4/A/忆江南  9.4s 0err 3426tok
  [102/144] gpt-5.4/A/雪明鳷鹊夜  46.62s 0err 7351tok
  [103/144] gpt-5.4/A/踏莎行  16.46s 0err 4328tok
  [104/144] gpt-5.4/A/渔家傲  19.95s 0err 5426tok
  [105/144] gpt-5.4/A/荷华媚  17.24s 0err 3863tok
  [106/144] gpt-5.4/A/钿带长中调  20.06s 0err 4203tok
  [107/144] gpt-5.4/A/甘露歌  34.51s 37err 10163tok
  [108/144] gpt-5.4/A/洞仙歌  52.8s 0err 11005tok
  [109/144] gpt-5.4/A/浣溪沙  9.22s 0err 3736tok
  [110/144] gpt-5.4/A/隔帘听  29.39s 0err 5568tok
  [111/144] gpt-5.4/A/浪淘沙  11.62s 0err 5801tok
  [112/144] gpt-5.4/A/韵令  78.32s 26err 13616tok
  [113/144] gpt-5.4/A/鹧鸪天  11.69s 0err 3220tok
  [114/144] gpt-5.4/A/生查子  17.44s 0err 4412tok
  [115/144] gpt-5.4/A/破字令  18.46s 0err 3963tok
  [116/144] gpt-5.4/A/菩萨蛮  25.69s 17err 7526tok
  [117/144] gpt-5.4/A/竹香子  18.87s 0err 3776tok
  [118/144] gpt-5.4/A/荷叶铺水面  19.49s 0err 3765tok
  [119/144] gpt-5.4/A/荔子丹  21.74s 0err 4215tok
  [120/144] gpt-5.4/A/七律平起首句入韵  15.89s 0err 3517tok
  [121/144] gpt-5.4/A/醉高歌  27.15s 0err 4440tok
  [122/144] gpt-5.4/A/七律仄起首句入韵  17.55s 0err 3959tok
  [123/144] gpt-5.4/A/五律仄起  16.48s 0err 3587tok
  [124/144] gpt-5.4/A/七绝平起  8.72s 0err 2963tok
  [125/144] gpt-5.4/A/五律平起  9.2s 0err 3083tok
  [126/144] gpt-5.4/A/七绝平起首句入韵  12.74s 0err 3275tok
  [127/144] gpt-5.4/A/五绝仄起  8.89s 0err 2920tok
  [128/144] gpt-5.4/A/七绝仄起首句入韵  40.85s 1err 5593tok
  [129/144] gpt-5.4/A/七绝仄起  10.77s 0err 2968tok
  [130/144] gpt-5.4/A/七律仄起  11.61s 0err 3216tok
  [131/144] gpt-5.4/A/七律平起  14.04s 0err 3707tok
  [132/144] gpt-5.4/A/五绝平起  7.53s 0err 2914tok
  [133/144] gpt-5.4/A/五绝仄起首句入韵  8.36s 0err 2888tok
  [134/144] gpt-5.4/A/五律仄起首句入韵  21.8s 0err 4296tok
  [135/144] gpt-5.4/A/五律平起首句入韵  16.78s 0err 3626tok
  [136/144] gpt-5.4/A/五绝平起首句入韵  16.32s 0err 3710tok
  [137/144] gpt-5.4/A/调笑令  29.96s 0err 8590tok
  [138/144] gpt-5.4/A/皂罗特髻  34.28s 0err 5769tok
  [139/144] gpt-5.4/A/戚氏  50.8s 0err 9893tok
  [140/144] gpt-5.4/A/六州歌头  51.32s 1err 13193tok
  [141/144] gpt-5.4/A/西江月  22.93s 0err 5558tok
  [142/144] gpt-5.4/A/定风波  28.33s 19err 9525tok
  [143/144] gpt-5.4/A/减字木兰花  29.29s 1err 9175tok
  [144/144] gpt-5.4/A/翠楼吟  66.9s 0err 10286tok
  gpt-5.4/A: done (144 completed)

All done. Results in results/run_003/
