Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 8 per model, outdir: results/run_003

  Qwen3.5-Plus/A: resume, 59 done, 85 remaining
  [1/85] Qwen3.5-Plus/A/摸鱼儿  210.88s 0err 16401tok
  [37/85] Qwen3.5-Plus/A/花发状元红慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [38/85] Qwen3.5-Plus/A/绕池游慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [39/85] Qwen3.5-Plus/A/逍遥乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [40/85] Qwen3.5-Plus/A/胜州令  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [41/85] Qwen3.5-Plus/A/三台（大曲）  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [42/85] Qwen3.5-Plus/A/个侬  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [43/85] Qwen3.5-Plus/A/大椿  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [44/85] Qwen3.5-Plus/A/小圣乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [45/85] Qwen3.5-Plus/A/六花飞  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [46/85] Qwen3.5-Plus/A/内家娇  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [47/85] Qwen3.5-Plus/A/征部乐  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [48/85] Qwen3.5-Plus/A/恋芳春慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [49/85] Qwen3.5-Plus/A/惜寒梅  421.68s 1err 26469tok
  [50/85] Qwen3.5-Plus/A/春雪间早梅  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [51/85] Qwen3.5-Plus/A/望南云慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [52/85] Qwen3.5-Plus/A/无闷  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [53/85] Qwen3.5-Plus/A/望明河  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [54/85] Qwen3.5-Plus/A/早梅芳慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [55/85] Qwen3.5-Plus/A/期夜月  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [56/85] Qwen3.5-Plus/A/梦扬州  387.88s 0err 26171tok
  [57/85] Qwen3.5-Plus/A/杏花天慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [58/85] Qwen3.5-Plus/A/真珠髻  311.77s 0err 20650tok
  [59/85] Qwen3.5-Plus/A/澡兰香  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [60/85] Qwen3.5-Plus/A/玉抱肚  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [61/85] Qwen3.5-Plus/A/玉梅香慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [62/85] Qwen3.5-Plus/A/玉连环  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [63/85] Qwen3.5-Plus/A/红芍药  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [64/85] Qwen3.5-Plus/A/清风满桂楼  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [65/85] Qwen3.5-Plus/A/采明珠  110.07s 0err 10226tok
  [67/85] Qwen3.5-Plus/A/阳台路  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [67/85] Qwen3.5-Plus/A/赏松菊  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [68/85] Qwen3.5-Plus/A/翠羽吟  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [69/85] Qwen3.5-Plus/A/菩萨蛮慢  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [70/85] Qwen3.5-Plus/A/蜀溪春  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [71/85] Qwen3.5-Plus/A/西吴曲  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
  [72/85] Qwen3.5-Plus/A/雪明鳷鹊夜  ERROR: OpenAI-compatible request timed out while reading response from https://dashscop
