Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  claude-opus-4-6/B: resume, 65 done, 79 remaining
  [1/79] claude-opus-4-6/B/兰陵王  540.29s 1err 34034tok
  [42/79] claude-opus-4-6/B/小圣乐  517.07s 1err 34035tok
  [43/79] claude-opus-4-6/B/恋芳春慢  430.82s 1err 30321tok
  [44/79] claude-opus-4-6/B/征部乐  525.97s 1err 34034tok
  [45/79] claude-opus-4-6/B/惜寒梅  197.67s 1err 16404tok
  [46/79] claude-opus-4-6/B/无闷  452.65s 1err 30706tok
  [47/79] claude-opus-4-6/B/早梅芳慢  444.28s 1err 30231tok
  [48/79] claude-opus-4-6/B/春雪间早梅  130.88s 1err 8744tok
  [49/79] claude-opus-4-6/B/杏花天慢  533.91s 1err 34037tok
  [50/79] claude-opus-4-6/B/望南云慢  551.52s 1err 34034tok
  [51/79] claude-opus-4-6/B/清风满桂楼  319.91s 1err 26997tok
  [52/79] claude-opus-4-6/B/梦扬州  420.66s 1err 27869tok
  [53/79] claude-opus-4-6/B/澡兰香  502.84s 1err 34034tok
  [54/79] claude-opus-4-6/B/玉梅香慢  448.01s 1err 34036tok
  [55/79] claude-opus-4-6/B/瑞云浓慢  28.04s 1err 2394tok
  [56/79] claude-opus-4-6/B/红芍药  257.0s 1err 17023tok
  [57/79] claude-opus-4-6/B/舜韶新  507.09s 1err 34035tok
  [58/79] claude-opus-4-6/B/菩萨蛮慢  543.45s 1err 34038tok
  [59/79] claude-opus-4-6/B/西吴曲  27.63s 1err 2425tok
  [60/79] claude-opus-4-6/B/赏松菊  182.65s 1err 12883tok
  [61/79] claude-opus-4-6/B/采明珠  71.49s 1err 5103tok
  [62/79] claude-opus-4-6/B/蜀溪春  365.68s 1err 26163tok
  [63/79] claude-opus-4-6/B/蝶恋花  130.28s 4err 9556tok
  [64/79] claude-opus-4-6/B/渔家傲  184.44s 8err 13789tok
  [65/79] claude-opus-4-6/B/钿带长中调  480.61s 1err 34037tok
  [66/79] claude-opus-4-6/B/洞仙歌  ERROR: OpenAI-compatible request timed out while reading response from https://platform
  [67/79] claude-opus-4-6/B/隔帘听  403.4s 1err 34036tok
  [68/79] claude-opus-4-6/B/浪淘沙  24.11s 7err 2611tok
  [69/79] claude-opus-4-6/B/韵令  342.92s 1err 20268tok
  [70/79] claude-opus-4-6/B/竹香子  517.5s 1err 34037tok
  [71/79] claude-opus-4-6/B/荷叶铺水面  502.81s 1err 34037tok
  [72/79] claude-opus-4-6/B/七律仄起首句入韵  63.6s 0err 5274tok
  [73/79] claude-opus-4-6/B/七律仄起  175.9s 2err 11934tok
  [74/79] claude-opus-4-6/B/戚氏  514.28s 1err 34035tok
  [75/79] claude-opus-4-6/B/皂罗特髻  32.47s 1err 2956tok
  [76/79] claude-opus-4-6/B/六州歌头  501.47s 1err 34034tok
  [77/79] claude-opus-4-6/B/调笑令  244.6s 1err 14710tok
  [78/79] claude-opus-4-6/B/定风波  139.6s 8err 10275tok
  [79/79] claude-opus-4-6/B/翠楼吟  509.59s 1err 34038tok
  claude-opus-4-6/B: done (79 completed)

All done. Results in results/run_002/
