Experiment: 1 models × 1 conditions × 144 prompts
Concurrency: 2 per model, outdir: results/run_002

  DeepSeek-V3.2-reasoner/B: resume, 72 done, 72 remaining
  [1/72] DeepSeek-V3.2-reasoner/B/念奴娇  107.5s 1err 6740tok
  [31/72] DeepSeek-V3.2-reasoner/B/扬州慢  154.34s 1err 6465tok
  [32/72] DeepSeek-V3.2-reasoner/B/绛都春  148.07s 0err 4001tok
  [33/72] DeepSeek-V3.2-reasoner/B/解语花  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [34/72] DeepSeek-V3.2-reasoner/B/法曲献仙音  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [35/72] DeepSeek-V3.2-reasoner/B/琵琶仙  42.47s 4err 7501tok
  [36/72] DeepSeek-V3.2-reasoner/B/庆春宫  175.98s 2err 9972tok
  [37/72] DeepSeek-V3.2-reasoner/B/石州慢  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [38/72] DeepSeek-V3.2-reasoner/B/选冠子  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [39/72] DeepSeek-V3.2-reasoner/B/意难忘  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [40/72] DeepSeek-V3.2-reasoner/B/索酒  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [41/72] DeepSeek-V3.2-reasoner/B/落梅  163.55s 1err 7477tok
  [42/72] DeepSeek-V3.2-reasoner/B/远朝归  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [43/72] DeepSeek-V3.2-reasoner/B/逍遥乐  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [44/72] DeepSeek-V3.2-reasoner/B/金浮图  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [45/72] DeepSeek-V3.2-reasoner/B/雪夜渔舟  87.32s 1err 5062tok
  [46/72] DeepSeek-V3.2-reasoner/B/三台（大曲）  37.24s 1err 4976tok
  [47/72] DeepSeek-V3.2-reasoner/B/长寿仙  159.79s 1err 6625tok
  [48/72] DeepSeek-V3.2-reasoner/B/如鱼水  175.53s 13err 8368tok
  [49/72] DeepSeek-V3.2-reasoner/B/征部乐  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [50/72] DeepSeek-V3.2-reasoner/B/小圣乐  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [51/72] DeepSeek-V3.2-reasoner/B/惜寒梅  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [52/72] DeepSeek-V3.2-reasoner/B/恋芳春慢  174.54s 4err 10535tok
  [53/72] DeepSeek-V3.2-reasoner/B/早梅芳慢  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [54/72] DeepSeek-V3.2-reasoner/B/无闷  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [55/72] DeepSeek-V3.2-reasoner/B/望南云慢  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [56/72] DeepSeek-V3.2-reasoner/B/梦扬州  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [57/72] DeepSeek-V3.2-reasoner/B/澡兰香  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [58/72] DeepSeek-V3.2-reasoner/B/清风满桂楼  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [59/72] DeepSeek-V3.2-reasoner/B/真珠髻  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [60/72] DeepSeek-V3.2-reasoner/B/玉梅香慢  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [61/72] DeepSeek-V3.2-reasoner/B/翠羽吟  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [62/72] DeepSeek-V3.2-reasoner/B/蜀溪春  179.48s 1err 10043tok
  [63/72] DeepSeek-V3.2-reasoner/B/采明珠  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [64/72] DeepSeek-V3.2-reasoner/B/雪明鳷鹊夜  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [65/72] DeepSeek-V3.2-reasoner/B/钿带长中调  91.01s 1err 5535tok
  [66/72] DeepSeek-V3.2-reasoner/B/洞仙歌  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [67/72] DeepSeek-V3.2-reasoner/B/荷叶铺水面  53.83s 1err 10461tok
  [68/72] DeepSeek-V3.2-reasoner/B/隔帘听  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [69/72] DeepSeek-V3.2-reasoner/B/戚氏  ERROR: OpenAI-compatible request failed: HTTP 504 Gateway Timeout for https://models.sj
  [70/72] DeepSeek-V3.2-reasoner/B/减字木兰花  51.98s 16err 6832tok
